Number,SMILES,IC50 NDM (uM),,,,
333,OC(CC[C@@H](C(O)=O)NC[C@@H](C(O)=O)NC[C@H](N)C(O)=O)=O,12.1,,,,
122,S=C(N(C1=CC=C(C(O)=O)C=C1)C/2=O)SC2=C/C3=CC=C(Cl)C=C3,12.2,,,,
423,O=C(NC(C(C)C)C(SCC(O)=O)=O)CC1=CC=CS1,12.4,,,,
319,N[C@H](C(O)=O)CN[C@@H](C(O)=O)CN[C@H](C(O)=O)CC(O)=O,12.5,,,,
276,OC([C@@H](N)CN[C@H](C(O)=O)CN1[C@H](C(O)=O)CCC1)=O,12.8,,,,
83,OC(C1=C(SC=N1)NS(=O)(C2=CC=CC=N2)=O)=O,12.9,,,,
487,SC[C@@H](C)C(NCCSC)=O,13,,,,
944,CC1=NC2=CC3=C(OCO3)C=C2C(NNCC4=CC=C(SC)C=C4)=C1,13,,,,
867,OB(O)[C@@H](NC([C@H](C)CS)=O)C1=CC(C=CC=C2)=C2C=C1,13.07,,,,
334,OC(C[C@@H](C(O)=O)NC[C@@H](C(O)=O)NCC(N)=O)=O,13.5,,,,
243,OC(C1=CC(N(C)C)=CC(C(O)=O)=N1)=O,13.6,,,,
112,O=C(/C(S1)=C/C2=CC=C(C(F)(F)F)C=C2)N(CC(O)=O)C1=S,14.3,,,,
117,S=C(N(C1=CC=C(C(O)=O)C=C1)C/2=O)SC2=C/C3=CC=CS3,14.3,,,,
863,OB(O)[C@@H](NC([C@H](C)CS)=O)C1=CC=C(F)C=C1,14.73,,,,
849,SC[C@@H](NCC1=CC=CC=C1)C(N[C@@H](CC2=CC=CC=C2)B(O)O)=O,14.81,,,,
499,SCC(C)CO,15,,,,
1015,O=C(NNC(S[K])=S)C1=CC(Br)=CC=C1,15.25,,,,
111,O=C(/C(S1)=C/C2=CC=C(F)C=C2)N(CC(O)=O)C1=S,15.4,,,,
24,OC1C(C)OC(OCC2C(O)C(O)C(O)C(OC3=C(C4=CC=C(O)C(O)=C4)OC(C=C(O)C=C5O)=C5C3=O)O2)C(O)C1O,15.5,,,,
866,OB(O)[C@H](NC([C@H](C)CS)=O)C1=CC=C(C)C=C1,15.92,,,,
25,O=C(SCC(O)=O)C(NC(CC1=CC=C(C2=CC=CC=C2)C=C1)=O)CC3=CNC4=C3C=CC=C4,16,,,,
836,O=C1CCC[C@@]2([H])N1C[C@@]3([H])[C@@]4([H])[C@]2([H])CCCN4CCC3,16,,,,
873,OB(O)[C@H](NC(CCS)=O)CC1=COC2=C1C=CC=C2,16.49,,,,
865,OB(O)[C@@H](NC([C@H](C)CS)=O)C1=CC=C(C)C=C1,16.7,,,,
854,OB(O)[C@H](NC([C@H](C)CS)=O)CC1=CC=CC=C1,16.86,,,,
53,OC(C1=NC=CC=C1)=O,17,,,,
178,O=C(O)[C@H]1N(C(C(CS)CC2=CC=CS2)=O)CCC1,17,,,,
332,O=C(CC[C@@H](C(OC(C)(C)C)=O)NC[C@@H](C(O)=O)NC[C@H](N)C(O)=O)OC(C)(C)C,17,,,,
18,O=C([C@@H](N)CN[C@H](C(OC)=O)CN[C@H](C(O)=O)CC(O)=O)OC,17.2,,,,
275,OC([C@H](CC(O)=O)NC[C@@H](C(OC)=O)NC[C@H](N)C(OC)=O)=O,17.2,,,,
856,OB(O)[C@H](NC([C@H](C)CS)=O)CC1=CC=C(F)C=C1,17.42,,,,
337,[H][C@]1(CS[C@@H]2CS)N2[C@@H](C(O)=O)C(C)(C)S1,18,,,,
16,O=C1C2=C(C=C(C(N[C@@H]3CCCCNC3=O)=O)C=C2)C[C@H](C4=CC=CC=C4)O1,18.2,,,,
323,OC(C[C@@H](C(O)=O)NC[C@@H](C(O)=O)NCC(O)=O)=O,18.3,,,,
68,OC(C1=NC=CC=C1NS(=O)(CC2=CC(Cl)=CC(Cl)=C2)=O)=O,18.6,,,,
58,OC(C1=NC=C2C(C=CC=C2)=C1)=O,19,,,,
75,OC(C1=NC=CC=C1NS(=O)(CC2=CC(Cl)=CC(Cl)=C2)=O)=O,19,,,,
336,[H][C@@]1(CS[C@H]2CS)N2[C@@H](C(O)=O)CS1,19,,,,
32,O=C(SCC(O)=O)C(NC(CC1=CC=CC=C1)=O)CCSC,20,,,,
473,SC[C@@H](C)C(N(OC)C)=O,20,,,,
486,SCC(C)C(NCCCC)=O,20,,,,
154,OC([C@@H](C1=CC=CC=C1)NC([C@H](C)CS)=O)=O,20.46,,,,
22,O[C@H]1[C@H](C)O[C@@H](OC[C@@H]2[C@@H](O)[C@H](O)[C@@H](O)[C@H](OC3=CC(OC(C4=CC(O)=C(OC)C=C4)=CC5=O)=C5C(O)=C3)O2)[C@H](O)[C@@H]1O,20.7,,,,
23,OC1C(O)C([NH3+])C(OC2C(O)C(OC3C(OC4C([NH3+])C(O)C(O)C(CO)C4)C([NH3+])CC([NH3+])C3O)OC2CO)OC1C[NH3+],20.7,,,,
142,O=C(C(O)=C1)C(CCCCCCCCCCC)=C(O)C1=O,21,,,,
485,SCC(C)C(NC1=NC(C)=CO1)=O,21,,,,
864,OB(O)[C@H](NC([C@H](C)CS)=O)C1=CC=C(F)C=C1,21.12,,,,
110,O=C(/C(S1)=C/C2=C(Cl)C=C(Cl)C=C2)N(CC(O)=O)C1=S,21.5,,,,
234,OC(C1=CC=CC(C(N[C@H](C(C)C)C(O)=O)=O)=N1)=O,22,,,,
271,OC([C@@H](N)CN[C@H](C(O)=O)CN[C@@H](C)C(O)=O)=O,22.1,,,,
843,SC[C@@H](C)C(NCC(O)=O)=O,22.5,,,,
855,OB(O)[C@@H](NC([C@H](C)CS)=O)CC1=CC=C(F)C=C1,22.81,,,,
871,OB(O)[C@@H](NC([C@H](C)CS)=O)CC(C)C,22.81,,,,
35,O=C1N(C)SC2=CC=CC=C21,24,,,,
151,OC([C@H](C1=CC=C(O)C=C1)NC([C@H](C)CS)=O)=O,24,,,,
232,OC(C1=CC=CC(C(NCC2=NC=CS2)=O)=N1)=O,24,,,,
145,OC([C@H](CC1=CNC2=C1C=CC=C2)NC([C@H](C)CS)=O)=O,24.8,,,,
298,SC[C@@H](C)C(N[C@@H](C(O)=O)CC1=CNC2=C1C=CC=C2)=O,24.81,,,,
108,O=C(/C(S1)=C/C2=CC=C(OC)C=C2)N(CC(O)=O)C1=S,25.1,,,,
177,OC1=C(OC)C=C(CC(CS)C(N2CCC[C@H]2C(O)=O)=O)C=C1,25.2,,,,
870,OB(O)[C@H](NC([C@H](C)CS)=O)C(C)C,25.58,,,,
861,OB(O)[C@@H](NC([C@H](C)CS)=O)C1=CC=CC=C1,26.43,,,,
857,OB(O)[C@@H](NC([C@H](C)CS)=O)CC1=CC=C(OC)C=C1,27.22,,,,
113,O=C(/C(S1)=C/C2=C([N+]([O-])=O)C=CC=C2)N(CC(O)=O)C1=S,27.4,,,,
26,O=C(SCC(O)=O)C(NC(CC1=CC=CC=C1)=O)CC2=CNC3=C2C=CC=C3,28,,,,
424,O=C(NC(CC(C)C)C(SCC(O)=O)=O)CC1=CC=CS1,28.5,,,,
30,O=C(SCC(O)=O)C(NC(CCCC)=O)CC1=CC=CC=C1,28.6,,,,
421,O=C(NCC(SCC(O)=O)=O)CC1=CC=CS1,28.7,,,,
780,O=C(C1CCN(S(=O)(C2=CC=CC3=NON=C23)=O)CC1)NC4=CC=CC5=CC=CC=C54,29.6,,,,
781,CC1=NC(NC2=CC=C(C)C=C2)=CC(N3CCN(S(C4=CC=C(OCC)C=C4)(=O)=O)CC3)=N1,31.4,,,,
833,O=P([O-])(O)CC(C1=C(Br)C([H])=C(Br)C=C1N2)=CC2=O,31.4,,,,
953,OB(O)C1=CC2=CC=CC(C(O)=O)=C2S1,32.42,,,,
72,OC(C1=NC=CC=C1NS(=O)(CC2=C(Cl)C=CC=C2)=O)=O,33,,,,
823,O=P([O-])(O)CC(C1=C(C)C([H])=C(C)C=C1O2)=CC2=O,33.8,,,,
826,O=P([O-])(O)CC(C1=C(Br)C([H])=C(C)C=C1O2)=CC2=O,34.2,,,,
952,OB(O)C1=CC2=CC=CC(C(OC(C)(C)C)=O)=C2S1,35.7,,,,
427,O=C(NC(CC1=CC=CC=C1)C(SCC(O)=O)=O)CC2=CC=CS2,36.3,,,,
329,OC(C[C@@H](C(O)=O)NC[C@@H](C(O)=O)NC[C@H](NS(C1=CC=CC=C1[N+]([O-])=O)(=O)=O)C(O)=O)=O,36.4,,,,
869,OB(O)[C@@H](NC([C@H](C)CS)=O)C(C)C,36.8,,,,
872,OB(O)[C@H](NC([C@H](C)CS)=O)CC(C)C,37.59,,,,
782,O=C(NC1=C(C)C=C(C)C=C1C)CSC2=NC3=C(S(N(C)C4=C3C=CC(Cl)=C4)(=O)=O)C=N2,37.6,,,,
859,OB(O)[C@@H](NC([C@H](C)CS)=O)CC1=COC2=C1C=CC=C2,37.95,,,,
33,O=C(SCC(O)=O)C(NC(C1=CC=CC=C1)=O)CCSC,38,,,,
54,OC(C1=NC2=C(C=CC=C2)C=C1)=O,41,,,,
165,OC(C1=CC=C(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C=C1CS)=O,43.95,,,,
28,O=C(SCC(O)=O)C(NC(CC1=CC=C(C2=CC=CC=C2)C=C1)=O)CC3=CC=CC=C3,44,,,,
818,O=P([O-])(O)CC(C1=C([H])C(C)=C(C)C=C1O2)=CC2=O,44.3,,,,
457,O=C(CSC1=NN=C(C2=CC=NC=C2)O1)NC(S3)=NC4=C3C=CC=C4,45,,,,
936,CSC(C=C1)=CC=C1/C=N/NC2=C3C(CCCC3)=NC4=CC=CC=C42,45,,,,
862,OB(O)[C@H](NC([C@H](C)CS)=O)C1=CC=CC=C1,46.42,,,,
103,O=C(/C(S1)=C/C2=CC=CO2)N(CC(O)=O)C1=S,47,,,,
189,O=C(C(C(CC1=CC=CC=C1)CS)=O)NC2=CC=CC=C2,47.7,,,,
474,SC[C@H](C)C(N(OC)C)=O,48,,,,
233,OC(C1=CC=CC(C(NCC(O)=O)=O)=N1)=O,49,,,,
67,OC(C1=NC=CC=C1NS(C2=CC=CC=C2)(=O)=O)=O,50,,,,
69,OC(C1=NC=CC=C1NS(=O)(C2=CC=CC=C2)=O)=O,50,,,,
786,O=C(O)C1=CC2=CC=CC=C2OC1,50,,,,
484,SCC(C)C(NC1=NC=C(Br)S1)=O,52,,,,
972,O=C(CS(=O)(C1=CC=CC=C1)=O)NC2CCCCC2,52,,,,
471,SC[C@H](C)C(O)=O,53,,,,
27,O=C(SCC(O)=O)C(NC(CCCC)=O)CC1=CNC2=C1C=CC=C2,55,,,,
475,SC[C@@H](C)C(NOC)=O,55,,,,
300,SCC(CCCCC1=CC=CC=C1)C(O)=O,56,,,,
469,SCC(C)C(O)=O,56,,,,
830,O=P([O-])(O)CC(C1=C(C)C([H])=C(C)C=C1N2)=CC2=O,56.2,,,,
848,SC[C@@H](N1C(C2=CC=CC=C2C1=O)=O)C(N[C@@H](CC3=CC=CC=C3)B(O)O)=O,57.71,,,,
817,OC(C=C1)=CC=C1/C=C/C2=CC(OC)=CC(OC)=C2,60.0,,,,
951,NCC1=CC=C(SC(B(O)O)=C2)C2=C1,60.7,,,,
144,OC([C@@H]1N(CCC1)C([C@H](C)CS)=O)=O,62,,,,
1018,O=C(NNC(S[K])=S)CCC1=CC=CC=C1,62.66,,,,
146,OC([C@@H](CC1=CNC2=C1C=CC=C2)NC([C@H](C)CS)=O)=O,64,,,,
950,BrCC1=CC=C(SC(B(O)O)=C2)C2=C1,64.6,,,,
299,SC[C@@H](C)C(N[C@H](C(O)=O)CC1=CNC2=C1C=CC=C2)=O,64.8,,,,
973,NC1=NC=NC2=C1N=C(S(=O)(O)=O)N2CC3=CC=CC=C3,65,,,,
974,ClC1=CC=CC(CNN2C(N)=NN=N2)=C1Cl,67,,,,
1012,OC1=CC=C(C(NNC(S[K])=S)=O)C=C1,67.12,,,,
840,SC[C@@H](C)C(NCB(O)O)=O,67.13,,,,
704,SCC(N)C(NC(CC(O)=O)C(O)=O)=O,68,,,,
975,O=C(O)C(CC(O)=O)SC1=CNC2=C1C=CC=C2,68,,,,
949,CC1=CC=C(SC(B(O)O)=C2)C2=C1,68.4,,,,
976,O=S(C1=CC=CC=C1)(CC2=NN=NN2C3=CC=C(C)C=C3)=O,71,,,,
153,OC([C@@H](CC1=CC=C(O)C=C1)NC([C@H](C)CS)=O)=O,73,,,,
977,BrC1=CC=CC=C1/C=C2C(N(CC(O)=O)C(S/2)=O)=O,76,,,,
835,OC1=C2C(OC(C3=CC(O)=C(O)C=C3)C(O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)C2=O)=CC(O)=C1,80,,,,
74,OC(C1=NC=CC=C1NS(=O)(CC2=C(Cl)C=C(Cl)C=C2)=O)=O,80.6,,,,
470,SC[C@@H](C)C(O)=O,81,,,,
829,O=P([O-])(O)CC(C1=C([H])C([H])=C([H])C=C1N2C)=CC2=O,81,,,,
447,CC(S)C(NCC(O)=O)=O,84,,,,
39,O=C1N(CCO)SC2=CC=CC=C21,85,,,,
978,NC1=CC=C(C2=NN=C(SCC(O)=O)N2C)C=C1,85,,,,
1014,O=C(NNC(S[K])=S)C1=CC=C(Cl)C=C1,91.31,,,,
476,SC[C@H](C)C(NOC)=O,92,,,,
19,OC([C@@H](N)CN[C@H](C(O)=O)CN[C@H](C)CC(O)=O)=O,94,,,,
272,OC([C@@H](N)CN[C@H](C(O)=O)CN[C@@H](CC(O)=O)C)=O,94,,,,
422,O=C(NC(C(SCC(O)=O)=O)C)CC1=CC=CS1,95.7,,,,
34,O=C1NSC2=CC=CC=C21,99,,,,
868,OB(O)[C@H](NC([C@H](C)CS)=O)C1=CC(C=CC=C2)=C2C=C1,100.54,,,,
701,SCC(N)C(NC(CC1=CC=CC=C1)C(O)=O)=O,113,,,,
71,OC(C1=NC=CC=C1NS(=O)(CC2=CC(C#N)=CC=C2)=O)=O,116,,,,
954,OB(O)C1=CC2=CC=CC(NC(OC(C)(C)C)=O)=C2S1,117.2,,,,
488,SC[C@@H](C)C(NCCS(C)(=O)=O)=O,120,,,,
819,O=P([O-])(O)CC(C1=C([H])C([H])=C(OC)C=C1O2)=CC2=O,123.7,,,,
478,SCC(C)C(NC1=CC=CC=C1)=O,135,,,,
888,SC1=C(C(O)=O)C=CC=C1,139,,,,
1069,SC1=C(C(O)=O)C=CC=C1,139,,,,
706,SCC(N)C(NCC(NC(C(O)=O)CC1=CC=CC=C1)=O)=O,144,,,,
785,CC(C(C(O)=O)O1)OC2=C1C=CC=C2,153,,,,
138,OC1=C(O)C=C(C[C@H](C(O)=O)OC(/C=C/C2=CC=C(O)C(O)=C2/C=C/C3=CC(O)=C(O)C=C3)=O)C=C1,160,,,,
62,OC(C1=NC(C2=COC=C2)=CC=C1)=O,163,,,,
851,SCC(N[C@@H](CC1=CC=CC=C1)B(O)O)=O,165,,,,
700,SCC(N)C(NC(CC1=CNC=N1)C(O)=O)=O,182,,,,
828,O=P([O-])(O)CC(C1=C([H])C([H])=C([H])C=C1N2)=CC2=O,190.2,,,,
850,SCCC(N[C@@H](CC1=CC=CC=C1)B(O)O)=O,190.5,,,,
143,OC([C@H](C)N(CCC)C([C@H](C)CS)=O)=O,196,,,,
20,OCC1OC(OC(C2(C)CCCC3(C)C2CCC4(C5)C3CC(OC6C(OC7C(O)C(O)C(O)C(CO)O7)C(O)C(O)C(CO)O6)C(C5=C)C4)=O)C(O)(C)C(O)C1O,214,,,,
827,O=P([O-])(O)CC(C1=C(F)C([H])=C(C)C=C1O2)=CC2=O,230.2,,,,
132,OC(/C=C/C(O)=O)=O,232,,,,
147,OC([C@H](CC1=CC=CC=C1)NC([C@H](C)CS)=O)=O,233,,,,
703,SCC(N)C(NC(C(C)C)C(O)=O)=O,235,,,,
708,SCC(N)C(NCC(NC(C(O)=O)C(C)C)=O)=O,249,,,,
705,SCC(N)C(NCC(NC(C(O)=O)CC1=CNC=N1)=O)=O,263,,,,
784,OC1=C(C(CCCC)=O)C=CC(O)=C1,300,,,,
148,OC([C@H](CC1=CC=C(O)C=C1)NC([C@H](C)CS)=O)=O,326,,,,
131,OC(C(C(O)C(O)=O)O)=O,409,,,,
919,O=C(C(C#N)=CO1)C2=C1C=CC=C2,480,,,,
831,O=P([O-])(O)CC1=CC=CC2=CC([H])=C([H])N=C21,741.3,,,,
921,ClC1=CC2=C(C(SCC(O)=O)=CC=N2)C=C1,1238,,,,
920,O=C(O)CCCC1=CNC2=CC=CC=C21,1946,,,,
922,CCCC1=CC=C(C(CCC(O)=O)=O)C=C1,3109,,,,
797,OC(C1=CC=CC(CS(O)(=O)=O)=N1)=O,>10,,,,
798,OC(C1=CC=CC(CS(C)(=O)=O)=N1)=O,>10,,,,
799,OC(C1=CC=CC(NS(C)(=O)=O)=N1)=O,>10,,,,
800,OC(C1=CC=CC(CN(S(C)(=O)=O)C)=N1)=O,>10,,,,
801,OC(C1=CC=CC(C2=NC=CS2)=N1)=O,>10,,,,
802,OC(C1=CC=CC(C2=NC=CO2)=N1)=O,>10,,,,
70,OC(C1=NC=CC=C1NS(=O)(CC2=CC=CC=C2)=O)=O,>100,,,,
96,OC(C1=NC=CC=C1)=O,>100,,,,
97,CC1=CC=CC(C(O)=O)=N1,>100,,,,
171,OC(C1=CC=C(Br)C=C1CS)=O,>100,,,,
29,O=C(SCC(O)=O)C(NC(CC1=CC=CC=C1)=O)CC2=CC=CC=C2,>200,,,,
31,O=C(SCC(O)=O)C(NC(C1=CC=C(C2=CC=CC=C2)C=C1)=O)CCSC,>200,,,,
55,CN1C=NC(C(O)=O)=C1,>200,,,,
56,OC(C1=NC=CN=C1)=O,>200,,,,
57,OC(C1=NN=CC=C1)=O,>200,,,,
59,OC(C1=NC=CC=C1C2=CC=NC=C2)=O,>200,,,,
60,OC(C1=NC=CC=C1C2=COC=C2)=O,>200,,,,
61,OC(C1=NC=CC=C1C2=CC=C(F)C(F)=C2)=O,>200,,,,
63,OC(C1=NC(C2=CC(F)=C(F)C=C2)=CC=C1)=O,>200,,,,
65,OC(C1=NC=CC=C1NC(C2=COC=N2)=O)=O,>200,,,,
73,OC(C1=NC=CC=C1NS(=O)(CC2=CC(Cl)=C(Cl)C=C2)=O)=O,>200,,,,
477,SCC(C)C(NOCC1=CC=C(OC)C=C1)=O,>200,,,,
479,SCC(C)C(NC1=CC(F)=CC=C1)=O,>200,,,,
480,SCC(C)C(NC1=CC=C(F)C=C1)=O,>200,,,,
482,SCC(C)C(NC1=NC=CN1)=O,>200,,,,
483,SCC(C)C(NC1=NC=CS1)=O,>200,,,,
492,SC[C@@H](C)C(NCC1=CC=C(O)C=C1)=O,>200,,,,
493,SC[C@@H](C)C(NCC1=C(C)C=CC=C1)=O,>200,,,,
494,SCC(C)C(NCC1=CC=C(F)C=C1)=O,>200,,,,
495,SCC(C)C(NCC1=CC=CO1)=O,>200,,,,
496,SCC(C)C(NCCC1=CC=CC=C1)=O,>200,,,,
497,SCC(C)C(NCCC1=CC=CS1)=O,>200,,,,
411,O=C1C(CC(O)=O)NCC(C(O)=O)N1CC(N)C(O)=O,>256,,,,
702,SCC(N)C(NC(CC1=CC=C(O)C=C1)C(O)=O)=O,>300,,,,
707,SCC(N)C(NCC(NC(C(O)=O)CC1=CC=C(O)C=C1)=O)=O,>300,,,,
709,SCC(N)C(NCC(NC(C(O)=O)CC(O)=O)=O)=O,>300,,,,
841,CCCC(NCB(O)O)=O,>300,,,,
842,CCC(NCB(O)O)=O,>300,,,,
845,C[C@]1(CN2N=NC=C2)[C@H](C(O)=O)N3C(C[C@@]3([H])S1(=O)=O)=O,>300,,,,
852,CCCC(N[C@@H](CC1=CC=CC=C1)B(O)O)=O,>300,,,,
853,CCC(N[C@@H](CC1=CC=CC=C1)B(O)O)=O,>300,,,,
102,O=C(/C(S1)=C/C2=CC=CC=C2)N(CC(O)=O)C1=S,>50,,,,
104,O=C(/C(S1)=C/C2=CC=CS2)N(CC(O)=O)C1=S,>50,,,,
105,O=C(/C(S1)=C/C2=NC=CC=C2)N(CC(O)=O)C1=S,>50,,,,
106,O=C(/C(S1)=C/C2=CC3=CC=CC=C3C=C2)N(CC(O)=O)C1=S,>50,,,,
107,O=C(/C(S1)=C/C2=CC=CC3=CC=CC=C23)N(CC(O)=O)C1=S,>50,,,,
109,O=C(/C(S1)=C/C2=CC=C(Cl)C=C2)N(CC(O)=O)C1=S,>50,,,,
114,O=C(/C(S1)=C/C2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2)N(CC(O)=O)C1=S,>50,,,,
119,S=C(N(C1=CC=C(C(O)=O)C=C1)C/2=O)SC2=C/C3=CC4=CC=CC=C4C=C3,>50,,,,
120,S=C(N(C1=CC=C(C(O)=O)C=C1)C/2=O)SC2=C/C3=CC=CC4=CC=CC=C34,>50,,,,
128,COC1=CC=C(/C=C(S)/C(O)=O)C=C1,>50,,,,
223,OC(C1=CC=CC(C(NC2=CC=CC=C2)=O)=N1)=O,>50,,,,
224,OC(C1=CC=CC(C(NCC2=CC=CC=C2)=O)=N1)=O,>50,,,,
225,OC(C1=CC=CC(C(NCCC2=CC=CC=C2)=O)=N1)=O,>50,,,,
226,OC(C1=CC=CC(C(NC2=CC=C(OC)C=C2)=O)=N1)=O,>50,,,,
227,OC(C1=CC=CC(C(NCC2=CC=C(OC)C=C2)=O)=N1)=O,>50,,,,
228,OC(C1=CC=CC(C(NCC2=CC(OCO3)=C3C=C2)=O)=N1)=O,>50,,,,
229,OC(C1=CC=CC(C(NCC2=CC=CO2)=O)=N1)=O,>50,,,,
230,OC(C1=CC=CC(C(NCC2=CC=CS2)=O)=N1)=O,>50,,,,
231,OC(C1=CC=CC(C(NCCC2=CC=CS2)=O)=N1)=O,>50,,,,
235,OC(C1=CC=CC(C(NC(C)C)=O)=N1)=O,>50,,,,
236,OC(C1=CC=CC(C(NCC(C)C)=O)=N1)=O,>50,,,,
237,OC(C1=CC=CC(C(NC2CCCC2)=O)=N1)=O,>50,,,,
238,OC(C1=CC=CC(C(NC2CCCCC2)=O)=N1)=O,>50,,,,
239,OC(C1=CC=CC(C(NCC2CCCO2)=O)=N1)=O,>50,,,,
240,OC(C1=CC=CC(C(N2CCCCC2)=O)=N1)=O,>50,,,,
190,O=C(CSC1=NN=C(C2=C(O)C=CC=C2)S1)NC3=NC4=CC=CC=C4N3,>500,,,,
191,O=C(CSC1=NN=C(C2=C(O)C=CC=C2)O1)NC3=NC4=CC=CC=C4N3,>500,,,,
192,O=C(CSC1=NN=C(CC2=CC=CC=C2)S1)NC3=NC4=CC=CC=C4N3,>500,,,,
193,O=C(CSC1=NN=C(CC2=CC=CC=C2)O1)NC3=NC4=CC=CC=C4N3,>500,,,,
194,O=C(CSC1=NN=C(CC2=CC=CC=C2)N1N)NC3=NC4=CC=CC=C4N3,>500,,,,
195,O=C(CSC1=NN=C(C2=CC=CC([N+]([O-])=O)=C2)S1)NC3=NC4=CC=CC=C4N3,>500,,,,
196,O=C(CSC1=NN=C(C2=C(N)C=CC=C2)S1)NC3=NC4=CC=CC=C4N3,>500,,,,
197,O=C(CSC1=NN=C(C2=C(N)C=CC=C2)O1)NC3=NC4=CC=CC=C4N3,>500,,,,
198,O=C(CSC1=NN=C(C2=C(N)C=CC=C2)N1)NC3=NC4=CC=CC=C4N3,>500,,,,
199,O=C(CSC1=NN=C(C2=C(N)C=CC=C2)N1N)NC3=NC4=CC=CC=C4N3,>500,,,,
200,O=C(CSC1=NN=C(CC2=CC=CS2)N1N)NC3=NC4=CC=CC=C4N3,>500,,,,
201,O=C(CSC1=NN=C(CCC2=NN=C(SCC(NC3=NC4=C(C=CC=C4)N3)=O)S2)S1)NC5=NC6=CC=CC=C6N5,>500,,,,
202,O=C(CSC1=NN=C(C2=CC=CC=C2O)S1)NC3=NC4=CC=CC=C4O3,>500,,,,
203,O=C(CSC1=NN=C(CC2=CC=CC=C2)S1)NC3=NC4=CC=CC=C4O3,>500,,,,
204,O=C(CSC1=NN=C(CC2=CC=CC=C2)O1)NC3=NC4=CC=CC=C4O3,>500,,,,
205,O=C(CSC1=NN=C(CC2=CC=CC=C2)N1N)NC3=NC4=CC=CC=C4O3,>500,,,,
206,O=C(CSC1=NN=C(C2=CC=CC([N+]([O-])=O)=C2)S1)NC3=NC4=CC=CC=C4O3,>500,,,,
207,O=C(CSC1=NN=C(C2=CC=CC([N+]([O-])=O)=C2)N1)NC3=NC4=CC=CC=C4O3,>500,,,,
208,O=C(CSC1=NN=C(CC2=CC=CS2)N1N)NC3=NC4=CC=CC=C4O3,>500,,,,
887,OC(CS)=O,>500,,,,
889,NC1=CC(S)=C(C(O)=O)C=C1,>500,,,,
1068,SCC(O)=O,>500,,,,
1070,NC1=CC(S)=C(C(O)=O)C=C1,>500,,,,
135,OC1=C(O)C=C(C[C@H](C(O)=O)OC(/C=C/C2=CC=C(O)C(O)=C2)=O)C=C1,>600,,,,
136,OC1=C(O)C=C(C[C@H](C(O)=O)O)C=C1,>600,,,,
137,OC(/C=C/C1=CC=C(O)C(O)=C1)=O,>600,,,,
4,OC1=C(C2=NN=C(SCC(NC3=CC(Cl)=C(Cl)C=C3)=O)N2)C=CC=C1,>1000,,,,
5,OC1=C(C2=NN=C(SCC(NC3=CC=C(Cl)C=C3Cl)=O)N2)C=CC=C1,>1000,,,,
6,OC1=C(C2=NN=C(SCC(NC3=C([N+]([O-])=O)C=C(Cl)C=C3)=O)N2)C=CC=C1,>1000,,,,
7,OC1=C(C2=NN=C(SCC(NC3=C([N+]([O-])=O)C=CC(Cl)=C3)=O)N2)C=CC=C1,>1000,,,,
8,OC1=C(C2=NN=C(SCC(NC3=CC=C([N+]([O-])=O)C=C3Cl)=O)N2)C=CC=C1,>1000,,,,
9,OC1=C(C2=NN=C(SCC(NC3=CC=CC=C3F)=O)N2)C=CC=C1,>1000,,,,
10,OC1=C(C2=NN=C(SCC(NC3=CC(F)=CC=C3)=O)N2)C=CC=C1,>1000,,,,
11,OC1=C(C2=NN=C(SCC(NC3=CC=C(F)C=C3)=O)N2)C=CC=C1,>1000,,,,
12,OC1=C(C2=NN=C(SCC(NC3=C(F)C=CC=C3F)=O)N2)C=CC=C1,>1000,,,,
13,OC1=C(C2=NN=C(SCC(NC3=CC=C(OC(F)(F)F)C=C3)=O)N2)C=CC=C1,>1000,,,,
101,OP(CC1=CC=CC=N1)(O)=O,>1000,,,,
425,O=C(NC(CCSC)C(SCC(O)=O)=O)CC1=CC=CS1,>1000,,,,
426,O=C(NC(CO)C(SCC(O)=O)=O)CC1=CC=CS1,>1000,,,,
428,O=C(NC(CC1=CNC2=CC=CC=C21)C(SCC(O)=O)=O)CC3=CC=CS3,>1000,,,,
429,O=C(CC1=CC=CS1)NCCCCC(C(SCC(O)=O)=O)NC(CC2=CC=CS2)=O,>1000,,,,
430,O=C(N1CCCC1C(SCC(O)=O)=O)CC2=CC=CS2,>1000,,,,
472,SCC(C)C(OC)=O,>1000,,,,
481,SCC(C)C(NC1=C(NC)C=CC=C1)=O,>1000,,,,
498,SCC(C)C(N1CCOCC1)=O,>1000,,,,
923,OC([C@H](N)CN[C@@H](C(O)=O)CN[C@@H](CC(O)=O)C(O)=O)=O,>1000,,,,
926,CC1=NC2=CC3=C(OCO3)C=C2C(N/N=C/C4=CC=C(SC)C=C4)=C1,>1000,,,,
927,CC1=NC2=CC3=C(OCO3)C=C2C(N/N=C/C4=CC=C(S(=O)(C)=O)C=C4)=C1,>1000,,,,
928,CC1=NC2=CC3=C(OCO3)C=C2C(N/N=C/C4=CC=C(S(O)=O)C=C4)=C1,>1000,,,,
931,CC1=NC2=CC3=C(OCO3)C=C2C(N/N=C/C4=CC=C(S(=O)(N)=O)C=C4)=C1,>1000,,,,
