Number,SMILES,IC50 NDM (uM),,,,
258,OC(C1=CC(NCC2=CC=CO2)=CC(C(O)=O)=N1)=O,0.52,,,,
368,O=C(NC1=CC=CC=C1Cl)CSC2=NN=C(C3=CC=C(O)C=C3)N2,0.52,,,,
1016,O=C(NNC(S[K])=S)C1=CC=C(C(C)(C)C)C=C1,0.52,,,,
1017,O=C(NNC(S[K])=S)C1=CC=CC=C1,0.53,,,,
167,OC(C1=CC=C(C2=CC=C(CC)C=C2)C=C1CS)=O,0.57,,,,
262,OC(C1=CC(C2=CC=C(N(C)C)C=C2)=CC(C(O)=O)=N1)=O,0.57,,,,
42,O=C1N(C2=CC=C(Cl)C=C2)SC3=CC=CC=C31,0.59,,,,
161,OC(C1=CC=C(C2=CC(F)=CC=C2)C=C1CS)=O,0.59,,,,
254,OC(C1=CC(C2=CC=C(O)C=C2)=CC(C(O)=O)=N1)=O,0.6,,,,
454,OC1=CC=CC=C1C2=NN=C(SCC(NC3=CC=CC=C3)=O)O2,0.6,,,,
369,O=C(NC1=CC=CC=C1Cl)CSC2=NN=C(C3=CC=CC=C3N)N2,0.61,,,,
455,OC1=CC=CC=C1C2=NN=C(SCC(NC3=CC=CC=C3)=O)S2,0.64,,,,
47,O=C1N(C2=CC=CC=C2N)SC3=CC=CC=C31,0.66,,,,
260,OC(C1=CC(C2=CC(OC)=CC=C2)=CC(C(O)=O)=N1)=O,0.66,,,,
116,S=C(N(C1=CC=C(C(O)=O)C=C1)C/2=O)SC2=C/C3=CC=CO3,0.69,,,,
370,O=C(NC1=CC=CC(Cl)=C1)CSC2=NN=C(C3=CC=CC=C3)N2,0.69,,,,
182,OC([C@@H]1N(C(C(CC2=CC=CC=C2)CS)=O)CCCC1)=O,0.7,,,,
162,OC(C1=CC=C(C2=CC=C(F)C=C2)C=C1CS)=O,0.71,,,,
50,O=C1N(C(NCCCC)=O)SC2=CC=CC=C21,0.72,,,,
970,OC1=CC=CC=C1C2=NN=C(S)N2CC=C,0.72,,,,
213,O=C(CSC1=NN=C(CC2=CC=CC=C2)N1N)NC3=NC4=CC([N+]([O-])=O)=CC=C4O3,0.73,,,,
52,O=C1N(CCOC(C2=C(C3=C(C=C/4)C(OC5=CC(N(CC)CC)=CC=C53)=CC4=[N+](CC)/CC)C=CC=C2)=O)SC6=CC=CC=C61,0.74,,,,
45,O=C1N(CC2=CC=CC=C2)SC3=CC=CC=C31,0.77,,,,
44,O=C1N(CC2=CC=CO2)SC3=CC=CC=C31,0.79,,,,
253,OC(C1=CC(C2=CC=C(OC)C=C2)=CC(C(O)=O)=N1)=O,0.8,,,,
452,OC1=CC=CC=C1C(S2)=NN=C2SCC(NC(S3)=NC4=C3C=CC=C4)=O,0.81,,,,
